CODIGO;NOME;LOJA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - SMJ;0.0;46.2;0.8857916666666666
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - STT;5.194;46.4;7.870208333333332
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - VIX;0.602;48.2;11.814208333333333
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - VIX;1.28;28.2;10.403875000000001
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - SMJ;4.064;26.4;2.353666666666667
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - STT;2.982;25.8;3.5873333333333335
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - STT;19.447;25.2;26.038125
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - SMJ;7.05;25.4;0.875125
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - VIX;7.738;26.0;24.764166666666668
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - SMJ;16.742;48.2;8.917958333333335
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - VIX;20.199;46.4;17.305
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - STT;29.978;42.0;24.68241666666667
133;SALAME AURORA TP ITALIANO KG;TRESMANN - SMJ;4.108;57.2;2.6645833333333333
133;SALAME AURORA TP ITALIANO KG;TRESMANN - STT;5.003;62.8;6.143833333333333
136;SALSICHA COFRIL FRANGO KG;TRESMANN - SMJ;6.494;47.0;4.40225
136;SALSICHA COFRIL FRANGO KG;TRESMANN - STT;9.682;46.6;4.561791666666666
139;CARNE SUINA SAUDALI PICANHA TEMP KG;TRESMANN - VIX;12.429;294.2;8.045208333333333
139;CARNE SUINA SAUDALI PICANHA TEMP KG;TRESMANN - SMJ;5.998;286.2;2.051708333333333
139;CARNE SUINA SAUDALI PICANHA TEMP KG;TRESMANN - STT;16.178;284.4;6.255875
