CODIGO;NOME;NOME_LOJA;CUSTOLIQUIDO
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - VIX;27.0
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - SMJ;26.598
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - STT;26.5995
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - VIX;42.0
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - STT;39.5
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - SMJ;39.5
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - VIX;39.0
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - STT;37.0
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - SMJ;37.0
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - STT;19.0533
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - SMJ;19.6893
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - VIX;19.586
120;REPOLHO ROXO KG;TRESMANN - VIX;6.68
120;REPOLHO ROXO KG;TRESMANN - STT;4.66
120;REPOLHO ROXO KG;TRESMANN - SMJ;4.66
121;TOMATE KG;TRESMANN - SMJ;7.3684
121;TOMATE KG;TRESMANN - VIX;9.0
121;TOMATE KG;TRESMANN - STT;7.3684
123;AIPIM KG;TRESMANN - VIX;3.38
123;AIPIM KG;TRESMANN - STT;2.5
123;AIPIM KG;TRESMANN - SMJ;2.5
124;CHUCHU KG;TRESMANN - SMJ;1.94
124;CHUCHU KG;TRESMANN - STT;1.94
124;CHUCHU KG;TRESMANN - VIX;3.0
125;ALFACE UN;TRESMANN - VIX;2.85
125;ALFACE UN;TRESMANN - SMJ;1.3
125;ALFACE UN;TRESMANN - STT;1.3
126;TEMPERO VERDE UN;TRESMANN - STT;1.3
126;TEMPERO VERDE UN;TRESMANN - SMJ;1.3
127;TAIOBA KG;TRESMANN - SMJ;6.0
127;TAIOBA KG;TRESMANN - STT;6.0
128;GENGIBRE KG;TRESMANN - STT;8.33
128;GENGIBRE KG;TRESMANN - SMJ;10.0
128;GENGIBRE KG;TRESMANN - VIX;9.0
131;COUVE PICADA UN;TRESMANN - STT;2.2
131;COUVE PICADA UN;TRESMANN - SMJ;2.2
131;COUVE PICADA UN;TRESMANN - VIX;5.63
133;SALAME AURORA TP ITALIANO KG;TRESMANN - STT;51.972
133;SALAME AURORA TP ITALIANO KG;TRESMANN - SMJ;51.972
136;SALSICHA COFRIL FRANGO KG;TRESMANN - SMJ;13.3386
136;SALSICHA COFRIL FRANGO KG;TRESMANN - STT;13.3403
137;GRAVIOLA KG;TRESMANN - STT;12.5
