CODIGO;NOME;LOJA;NOME_FANTASIA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - STT;FIORE;5.419;52.2;9.410666666666668
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - SMJ;FIORE;-0.004;47.0;1.3061666666666667
24;QUEIJO FIORE RICOTA FRESCA KG;TRESMANN - VIX;FIORE;2.99;51.6;7.019416666666666
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - STT;FIORE;21.878;26.2;4.152458333333334
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - VIX;FIORE;6.066;27.0;11.052041666666666
31;QUEIJO FIORE MINAS FRESCAL LIGHT KG;TRESMANN - SMJ;FIORE;3.684;26.8;1.4202916666666665
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - STT;FIORE;25.067;24.8;26.41254166666667
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - SMJ;FIORE;7.438;24.8;3.7235833333333335
48;QUEIJO FIORE MINAS FRESCAL KG;TRESMANN - VIX;FIORE;12.175;26.8;25.953333333333333
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - VIX;SEARA;26.199;48.0;17.117541666666668
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - SMJ;SEARA;15.716;49.8;9.748999999999999
114;LINGUICA SEARA CALABR FINA KG;TRESMANN - STT;SEARA;17.372;47.4;25.721083333333333
133;SALAME AURORA TP ITALIANO KG;TRESMANN - STT;AURORA;7.437;66.4;4.768166666666667
133;SALAME AURORA TP ITALIANO KG;TRESMANN - SMJ;AURORA;3.272;64.0;4.199583333333333
136;SALSICHA COFRIL FRANGO KG;TRESMANN - STT;COFRIL;9.338;48.6;3.4047916666666667
136;SALSICHA COFRIL FRANGO KG;TRESMANN - SMJ;COFRIL;-5.431;47.0;4.497166666666667
139;CARNE SUINA SAUDALI PICANHA TEMP KG;TRESMANN - STT;SAUDALI;6.54;284.4;6.0596250000000005
139;CARNE SUINA SAUDALI PICANHA TEMP KG;TRESMANN - VIX;SAUDALI;6.419;294.2;4.605958333333334
139;CARNE SUINA SAUDALI PICANHA TEMP KG;TRESMANN - SMJ;SAUDALI;4.726;286.2;1.2742916666666666
141;QUEIJO VENEZA MUSSARELA GRD (*) KG;TRESMANN - SMJ;VENEZA;26.578;160.0;20.856749999999998
141;QUEIJO VENEZA MUSSARELA GRD (*) KG;TRESMANN - STT;VENEZA;19.04;166.6;51.25641666666667
151;OSSADA (D-T-C-S) KG;TRESMANN - STT;FORTE BOI;-21.748;72.5;68.11316666666667
151;OSSADA (D-T-C-S) KG;TRESMANN - SMJ;FORTE BOI;-16.742;0.0;41.88616666666667
152;CARNE BOV MIOLO DA PA (D) KG;TRESMANN - SMJ;FORTE BOI;0.0;0.0;5.703833333333334
152;CARNE BOV MIOLO DA PA (D) KG;TRESMANN - STT;FORTE BOI;0.0;0.0;16.116416666666666
155;PEIXES DIVERSOS KG;TRESMANN - STT;TRESMANN - SMJ;0.0;0.0;0.0
155;PEIXES DIVERSOS KG;TRESMANN - SMJ;TRESMANN - SMJ;0.0;0.0;0.0
157;CARNE BOV MUSCULO (T) KG;TRESMANN - STT;FORTE BOI;0.0;0.0;214.87145833333335
157;CARNE BOV MUSCULO (T) KG;TRESMANN - SMJ;FORTE BOI;0.0;42.6;82.61545833333332
158;CARNE BOV PATINHO (T) KG;TRESMANN - SMJ;FORTE BOI;0.0;35.0;160.51116666666667
158;CARNE BOV PATINHO (T) KG;TRESMANN - STT;FORTE BOI;0.0;75.8;295.97058333333337
165;AVE CHESTER PERDIGAO KG;TRESMANN - SMJ;BRF;2.736;362.2;9.272208333333333
165;AVE CHESTER PERDIGAO KG;TRESMANN - STT;BRF;0.0;330.8;7.107
167;PELANCA BOVINA (D-T-C) KG;TRESMANN - STT;FORTE BOI;-205.285;0.0;377.96187499999996
167;PELANCA BOVINA (D-T-C) KG;TRESMANN - SMJ;FORTE BOI;-174.149;0.0;305.8751666666667
171;PERU REZENDE TEMP * KG;TRESMANN - STT;SEARA;1.828;404.6;3.838416666666667
171;PERU REZENDE TEMP * KG;TRESMANN - SMJ;SEARA;0.0;346.6;1.9778333333333336
172;PERU SADIA TEMP KG;TRESMANN - STT;BRF;2.826;263.4;0.7568333333333334
172;PERU SADIA TEMP KG;TRESMANN - SMJ;BRF;0.0;361.0;1.4074166666666665
184;LINGUICA PERDIGAO CALAB GROSSA KG;TRESMANN - SMJ;BRF;22.467;46.4;8.577250000000001
184;LINGUICA PERDIGAO CALAB GROSSA KG;TRESMANN - STT;BRF;26.071;48.6;15.683083333333334
197;BALA UN;TRESMANN - STT;TRESMANN - SMJ;-1367.0;0.0;952.7916666666667
197;BALA UN;TRESMANN - SMJ;TRESMANN - SMJ;0.0;0.0;0.375
199;CARNE BOV CONTRA FILE A VACUO KG;TRESMANN - SMJ;FORTE BOI;222.721;57.2;17.97325
199;CARNE BOV CONTRA FILE A VACUO KG;TRESMANN - STT;FORTE BOI;224.592;62.0;21.78933333333333
499;MARIA MOLE 5UN;TRESMANN - STT;TRESMANN - SMJ;0.0;0.0;0.0
